OrderId,Date,Region,SalesRep,Product,UnitsSold,UnitPrice
1001,2024-01-03,North,Amanda Lee,Accounting Software,12,199.99
1002,2024-01-04,West,Jordan Smith,Payroll Suite,8,249.50
1003,2024-01-06,South,Chris Green,Analytics Pro,15,299.00
1004,2024-01-07,North,Amanda Lee,Analytics Pro,5,299.00
1005,2024-01-10,East,Sasha Patel,Payroll Suite,10,249.50
1006,2024-01-12,West,Jordan Smith,Analytics Pro,7,299.00
1007,2024-01-14,South,Chris Green,Accounting Software,9,199.99
1008,2024-01-16,East,Sasha Patel,Analytics Pro,6,299.00
1009,2024-01-18,North,Jamie Fox,Payroll Suite,11,249.50
1010,2024-01-21,West,Jordan Smith,Accounting Software,13,199.99
1011,2024-01-22,South,Chris Green,Payroll Suite,4,249.50
1012,2024-01-24,North,Jamie Fox,Analytics Pro,9,299.00
1013,2024-01-27,East,Sasha Patel,Accounting Software,14,199.99
1014,2024-01-28,West,Jordan Smith,Payroll Suite,5,249.50
1015,2024-01-31,South,Chris Green,Analytics Pro,8,299.00
